country,rank,area,netChange,worldPercentage,density,densityMi,place
Uzbekistan,43,447400,0.0166,0.0044,79.8002,206.6824,860
Yemen,44,527968,0.024,0.0043,65.2496,168.9964,887
Peru,45,1285216,0.0105,0.0043,26.8381,69.5106,604
Malaysia,46,330803,0.0116,0.0043,104.4241,270.4583,458
Ghana,47,238533,0.0206,0.0043,149.965,388.4093,288
Mozambique,48,801590,0.0302,0.0042,43.1056,111.6434,508
Nepal,49,147181,0.011,0.0039,215.5325,558.2293,524
Madagascar,50,587041,0.023,0.0038,52.124,135.0011,450
Ivory Coast,51,322463,0.023,0.0036,90.7957,235.1609,384
Venezuela,52,916445,0.0179,0.0036,32.6949,84.6797,862
Cameroon,53,475442,0.0235,0.0036,60.6023,156.9598,120
Niger,54,1267000,0.0321,0.0034,21.4754,55.6212,562
Australia,55,7692024,0.0083,0.0033,3.4372,8.9024,36
North Korea,56,120538,0.0028,0.0033,217.2645,562.7151,408
Taiwan,57,36193,0.0009,0.003,660.9188,1711.7796,158
Mali,58,1240192,0.0225,0.0029,19.0902,49.4437,466
Burkina Faso,59,272967,0.0185,0.0029,84.9835,220.1073,854
Syria,60,185180,0.0359,0.0029,126.4881,327.6042,760
Sri Lanka,61,65610,0.0018,0.0027,353.9214,916.6565,144
Malawi,62,118484,0.0169,0.0026,222.0169,575.0237,454
Zambia,63,752612,0.0178,0.0026,27.6702,71.6658,894
Romania,64,238391,-0.0103,0.0025,86.4604,223.9325,642
Chile,65,756102,0.0009,0.0025,26.4005,68.3772,152
Kazakhstan,66,2724900,0.0067,0.0024,7.2625,18.8099,398
Chad,67,1284000,0.0178,0.0023,14.516,37.5965,148
Ecuador,68,276841,0.006,0.0023,73.2424,189.6978,218
Somalia,69,637657,0.0176,0.0023,28.9211,74.9057,706
Guatemala,70,108889,0.008,0.0023,168.8319,437.2746,320
Senegal,71,196722,0.0144,0.0022,92.2618,238.958,686
Netherlands,72,41850,0.0017,0.0022,523.264,1355.2538,528
Cambodia,73,181035,0.0057,0.0021,95.9938,248.6239,116
Zimbabwe,74,390757,0.0112,0.0021,43.0798,111.5766,716
Guinea,75,245857,0.0106,0.0018,57.7511,149.5755,324
Rwanda,76,26338,0.0101,0.0018,571.3289,1479.7417,646
Benin,77,112622,0.0115,0.0017,121.6107,314.9718,204
Burundi,78,27834,0.0111,0.0017,515.5202,1335.1973,108
Tunisia,79,163610,0.0035,0.0016,80.1894,207.6905,788
Bolivia,80,1098581,0.0057,0.0015,11.436,29.6191,68
Haiti,81,27750,0.0045,0.0015,425.4268,1101.8554,332
Belgium,82,30528,0.0009,0.0015,385.9359,999.5741,56
Jordan,83,89342,0.0014,0.0014,127.6781,330.6864,400
Dominican Republic,84,48671,0.0032,0.0014,234.5885,607.5843,214
